2015-10-09 16:32:01,589 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-10-09 16:32:01,591 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 5 (took 1ms)
2015-10-09 16:32:01,594 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Starting resolution types of umbraco.interfaces.ITree
2015-10-09 16:32:01,595 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 1ms)
2015-10-09 16:32:01,732 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Starting resolution types of umbraco.interfaces.ITree
2015-10-09 16:32:01,733 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 1ms)
2015-10-09 16:32:07,088 [6] INFO  Umbraco.Core.UmbracoApplicationBase - [P15332/T1/D2] Application shutdown. Reason: ConfigurationChange
2015-10-09 16:32:26,633 [25] INFO  umbraco.content - [P15332/T1/D3] Load Xml from file...
2015-10-09 16:32:26,634 [25] INFO  umbraco.content - [P15332/T1/D3] Loaded Xml from file.
2015-10-09 16:33:01,347 [25] INFO  umbraco.BusinessLogic.Log - [P15332/T1/D3] Log scrubbed.  Removed all items older than 2015-08-10 16:33:01
2015-10-09 16:33:13,411 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Starting resolution types of Umbraco.Web.Trees.TreeController
2015-10-09 16:33:13,411 [25] INFO  Umbraco.Core.PluginManager - [P15332/T1/D3] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 5 (took 0ms)
